Item,M,L,XL,XXL,XXXL,XXXXL,XXXXXL,QTY,MRPM,MRP2L,MRP3L,MRP4L,MRP5L,RATEM,RATE2L,RATE3L,RATE4L,RATE5L,TOTAL
GOLD,0,0,0,36,0,0,0,36,100,110,120,130,140,67,74,80,87,94,2664
AUDI,6,0,6,6,0,0,0,18,120,130,140,150,160,80,87,94,100,107,1482
LOTUS,0,18,6,24,0,0,0,48,90,100,110,120,130,60,67,74,80,87,3048
TRIM,0,12,0,0,0,0,0,12,130,140,150,160,170,87,94,100,107,114,1044
SOPHIA,0,0,12,24,0,0,0,36,100,110,120,130,140,67,74,80,87,94,2580
VIBHA,0,0,0,48,24,12,0,84,95,105,115,125,135,64,70,77,84,90,6216
KOMAL,0,0,0,24,0,0,0,24,85,95,105,115,125,57,64,70,77,84,1536
BREEZA,0,0,0,12,0,0,0,12,130,140,150,160,170,87,94,100,107,114,1128
MODAL,0,0,12,48,0,0,0,60,130,140,150,160,170,87,94,100,107,114,5556
SAFARA,0,0,6,6,0,0,0,12,130,140,150,160,170,87,94,100,107,114,1086
GILLI,0,0,0,12,0,0,0,12,90,100,110,120,130,60,67,74,80,87,804
AUSTIN,0,0,0,18,0,0,0,18,95,105,115,125,135,64,70,77,84,90,1260
"OPTION (BK)",0,0,36,42,0,0,0,78,120,130,140,150,160,80,87,94,100,107,6534
BMW,0,0,0,24,0,0,0,24,110,120,130,140,150,74,80,87,94,100,1920
CASIO,6,0,15,42,0,0,0,63,95,105,115,125,135,64,70,77,84,90,4284
RASA,0,0,0,12,0,0,0,12,95,105,115,125,135,64,70,77,84,90,840
CHOICE,0,0,12,6,0,0,0,18,95,105,115,125,135,64,70,77,84,90,1188
LAZARI,0,3,0,24,0,0,0,27,90,100,110,120,130,60,67,74,80,87,1788
SPARK,96,36,36,60,0,0,0,228,95,105,115,125,135,64,70,77,84,90,14952
JASS,0,0,0,6,0,6,0,12,90,100,110,120,130,60,67,74,80,87,882
ROSIE,0,6,24,72,0,0,0,102,95,105,115,125,135,64,70,77,84,90,6960
SONATA,0,6,0,0,0,0,0,6,95,105,115,125,135,64,70,77,84,90,384
APPLE,0,0,6,18,0,0,0,24,90,100,110,120,130,60,67,74,80,87,1566
"MAX (BK)",0,0,0,6,0,0,0,6,100,110,120,130,140,67,74,80,87,94,444
MAPRO,36,12,36,18,0,6,0,108,95,105,115,125,135,64,70,77,84,90,7140
VAMI,6,0,0,6,0,0,0,12,95,105,115,125,135,64,70,77,84,90,804
BUBBLE,0,0,0,18,0,0,0,18,95,105,115,125,135,64,70,77,84,90,1260
GRACE,0,0,12,18,0,0,0,30,95,105,115,125,135,64,70,77,84,90,2028
LOVE,0,3,12,18,0,0,0,33,95,105,115,125,135,64,70,77,84,90,2220
ICON,0,0,0,12,0,0,0,12,100,110,120,130,140,67,74,80,87,94,888
NIRA,0,0,8,42,0,0,0,50,100,110,120,130,140,67,74,80,87,94,3644
KAREENA,0,12,0,12,0,0,0,24,95,105,115,125,135,64,70,77,84,90,1608
SPRIT,0,0,0,12,0,0,0,12,90,100,110,120,130,67,74,80,87,94,888
RIYA,0,0,0,12,0,0,0,12,100,110,120,130,140,67,74,80,87,94,888
COKE,30,18,12,24,0,0,0,84,85,95,105,115,125,57,64,70,77,84,4956
FIZZA,0,0,0,12,0,0,0,12,95,105,115,125,135,64,70,77,84,90,840
ULTRA,0,0,0,12,0,0,0,12,95,105,115,125,135,64,70,77,84,90,840
SKODA,0,0,0,12,0,0,0,12,105,115,125,135,145,70,77,84,90,97,924
MAGIC,6,6,6,42,0,0,0,60,110,120,130,140,150,74,80,87,94,100,4692
COOL,0,0,0,6,0,0,0,6,95,105,115,125,135,64,70,77,84,90,420
SLOT,0,0,0,0,0,6,0,6,95,105,115,125,135,64,70,77,84,90,504
PATTERN,0,6,0,24,0,0,0,30,100,110,120,130,140,67,74,80,87,94,2178
"STYLE (BK)",0,12,0,12,0,0,0,24,130,140,150,160,170,87,94,100,107,114,2172
FION,6,0,6,24,0,0,0,36,90,100,110,120,130,60,67,74,80,87,2328
BALI,0,0,6,30,0,0,0,36,85,95,105,115,125,57,64,70,77,84,2262
"SAIL (BK)",24,0,12,0,0,0,0,36,130,140,150,160,170,87,94,100,107,114,3132
JIO,36,6,6,6,0,0,0,54,90,100,110,120,130,60,67,74,80,87,3282
NOVA,0,3,0,6,0,0,0,9,90,100,110,120,130,60,67,74,80,87,582
ZINK,0,6,0,24,0,0,0,30,90,100,110,120,130,60,67,74,80,87,1968
SNEHA,12,24,12,24,0,0,0,72,100,110,120,130,140,67,74,80,87,94,4992
RUPA,12,0,0,0,0,0,0,12,90,100,110,120,130,60,67,74,80,87,720
PADMA,18,6,18,0,0,0,0,42,100,110,120,130,140,67,74,80,87,94,2814
BHOOMI,24,24,12,12,0,0,0,72,100,110,120,130,140,67,74,80,87,94,4908
ABBY,18,6,6,0,0,0,0,30,100,110,120,130,140,67,74,80,87,94,2010
SUMMER,6,6,24,48,0,0,0,84,105,115,125,135,145,70,77,80,90,97,6216
"TRIM 2",0,12,0,0,0,0,0,12,130,140,150,160,170,87,94,100,107,114,1044
MAHI,42,30,36,18,0,0,0,126,90,100,110,120,130,60,67,74,80,87,7686
HAILEY,24,12,12,0,0,0,0,48,90,100,110,120,130,60,67,74,80,87,2880
"HI TECH",12,12,12,0,0,0,0,36,100,110,120,130,140,67,74,80,87,94,2412
KARA,24,0,24,6,0,0,0,54,95,105,115,125,135,64,70,77,84,90,3492
JERRY,12,0,12,6,0,0,0,30,100,110,120,130,140,67,74,80,87,94,2052
TIYA,36,24,24,0,0,0,0,84,95,105,115,125,135,64,70,77,84,90,5376
RING,36,24,12,42,0,0,0,114,95,105,115,125,135,64,70,77,84,90,7548
EESHA,36,24,0,6,0,0,0,66,95,105,115,125,135,64,70,77,84,90,4260
TELON,0,12,6,6,0,0,0,24,95,105,115,125,135,64,70,77,84,90,1572
"ZARA (BK)",12,6,0,12,0,0,0,30,125,135,145,155,165,84,90,97,104,110,2592
TINY,6,6,27,24,0,0,0,63,110,120,130,140,150,74,80,87,94,100,4806
NITU,6,6,6,12,0,0,0,30,95,105,115,125,135,64,70,77,84,90,1992
MONA,0,0,0,12,0,0,0,12,90,100,110,120,130,60,67,74,80,87,804
ARCHANA,30,18,24,6,0,0,0,78,95,105,115,125,135,64,70,77,84,90,5028
"ABI (BK)",42,0,30,0,0,0,0,72,130,140,150,160,170,87,94,100,107,114,6264
KITE,0,0,30,60,0,0,0,90,95,105,115,125,135,64,70,77,84,90,6120
SANAYA,30,18,18,12,0,0,0,78,95,105,115,125,135,64,70,77,84,90,5064
KAJOL,36,24,36,12,0,0,0,108,90,100,110,120,130,60,67,74,80,87,6564
SAWAN,36,30,30,54,0,0,0,150,100,110,120,130,140,67,74,80,87,94,10428
"AISHA (BK)",30,18,6,12,0,0,0,66,90,100,110,120,130,60,67,74,80,87,4044
VIVO,30,18,18,6,0,0,0,72,95,105,115,125,135,64,70,77,84,90,4644
RAYBAN,24,24,36,12,0,0,0,96,95,105,115,125,135,64,70,77,84,90,6216
VIVIDHA,12,0,18,6,0,0,0,36,100,110,120,130,140,67,74,80,87,94,2454
SWEET,12,0,6,75,0,0,0,93,100,110,120,130,140,67,74,80,87,94,6756
ARIYA,12,0,18,12,0,0,0,42,95,105,115,125,135,64,70,77,84,90,2760
"NAAK (BK)",18,0,0,0,0,0,0,18,90,100,110,120,130,60,67,74,80,87,1080
HONEY,0,0,6,0,0,0,0,6,95,105,115,125,135,64,70,77,84,90,384
LACEY,12,12,12,36,0,0,0,72,130,140,150,160,170,87,94,100,107,114,6516
ONLINE,6,36,30,30,0,0,0,102,95,105,115,125,135,64,70,77,84,90,6708
ODA,0,12,0,18,0,0,0,30,110,120,130,140,150,74,80,87,94,100,2328
POPPY,18,6,24,18,0,0,0,66,135,145,155,165,175,90,97,104,110,117,6066
DOTCOM,0,0,12,36,0,0,0,48,90,100,110,120,130,60,67,74,80,87,3132
UNIQUE,18,12,0,0,0,0,0,30,100,110,120,130,140,67,74,80,87,94,2010
PEAL,0,0,0,6,0,0,0,6,90,100,110,120,130,60,67,74,80,87,402
SPICE,0,0,12,12,0,0,0,24,95,105,115,125,135,64,70,77,84,90,1608
AMI,0,12,0,24,0,0,0,36,90,100,110,120,130,60,67,74,80,87,2328
ROUND,0,12,12,24,0,0,0,48,95,105,115,125,135,64,70,77,84,90,3216
TRIPAL,0,12,0,12,0,0,0,24,110,120,130,140,150,74,80,87,94,100,1848
"SANA (BK)",12,0,0,0,0,0,0,12,90,100,110,120,130,60,67,74,80,87,720
GLOBUS,3,0,18,57,0,0,0,78,95,105,115,125,135,64,70,77,84,90,5334
CORSA,12,0,30,24,0,0,0,66,100,110,120,130,140,67,74,80,87,94,4590
PRETTY,6,0,6,24,0,0,0,36,85,95,105,115,125,57,64,70,77,84,2220
OPPO,86,60,84,24,12,0,0,266,100,110,120,130,140,67,74,80,87,94,18146
FORD,12,0,0,0,0,0,0,12,95,105,115,125,135,64,70,77,84,90,768
OSCAR,0,3,6,0,0,0,0,9,85,95,105,115,125,57,64,70,77,84,513
SONI,0,3,12,6,0,0,0,21,100,110,120,130,140,67,74,80,87,94,1449
SUZAN,0,0,0,12,0,0,0,12,100,110,120,130,140,67,74,80,87,94,888
LAZER,60,36,54,36,0,0,0,186,90,100,110,120,130,60,67,74,80,87,11412
WILD,0,3,12,0,0,0,0,15,95,105,115,125,135,64,70,77,84,90,960
INOX,0,12,0,3,0,0,0,15,85,95,105,115,125,57,64,70,77,84,876
FRESH,0,12,0,12,0,0,0,24,100,110,120,130,140,67,74,80,87,94,1692
